                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  1.338,                0.87988,                0.90449,                0.72274,                 0.6667,                0.74633,                0.48801,                 1.2709,                0.88168,                0.89761,              1.279e-05,              1.279e-05,              1.279e-05
                     88,                 1.3425,                0.87876,                0.90463,                0.72821,                0.66877,                 0.7509,                0.49152,                 1.2687,                0.88201,                0.89768,             1.1422e-05,             1.1422e-05,             1.1422e-05
                     89,                 1.3284,                0.87542,                0.90228,                0.71155,                0.66143,                0.73691,                 0.4818,                  1.271,                0.89671,                0.89754,             1.0142e-05,             1.0142e-05,             1.0142e-05
                     90,                 1.3091,                  0.861,                0.89925,                0.72271,                0.66506,                0.74546,                0.48774,                 1.2708,                0.87988,                0.89783,             8.9521e-06,             8.9521e-06,             8.9521e-06
                     91,                   1.14,                0.83315,                0.87054,                0.71963,                0.65701,                0.73677,                0.47884,                 1.2871,                0.90285,                0.90046,             7.8528e-06,             7.8528e-06,             7.8528e-06
                     92,                   1.14,                0.79197,                0.87023,                0.73009,                0.66116,                 0.7451,                0.48548,                 1.2786,                  0.898,                0.89871,             6.8454e-06,             6.8454e-06,             6.8454e-06
                     93,                  1.133,                0.78537,                0.87055,                0.71782,                 0.6595,                 0.7359,                0.47993,                  1.274,                 0.9033,                0.89802,             5.9309e-06,             5.9309e-06,             5.9309e-06
                     94,                 1.1231,                0.77684,                0.86963,                0.71835,                0.66039,                0.73726,                0.48061,                 1.2749,                0.89774,                0.89814,             5.1103e-06,             5.1103e-06,             5.1103e-06
                     95,                 1.1229,                0.77719,                0.86935,                0.71851,                0.66551,                 0.7405,                0.48319,                 1.2735,                0.89401,                 0.8982,             4.3842e-06,             4.3842e-06,             4.3842e-06
                     96,                 1.1284,                0.77601,                0.86952,                0.71275,                0.65988,                0.73307,                  0.477,                  1.275,                0.90437,                0.89835,             3.7536e-06,             3.7536e-06,             3.7536e-06
                     97,                 1.1287,                 0.7776,                0.86959,                0.72961,                0.66639,                0.74775,                0.48818,                 1.2713,                0.88687,                0.89785,             3.2189e-06,             3.2189e-06,             3.2189e-06
                     98,                 1.1239,                0.77503,                0.86753,                0.72086,                0.66445,                0.74145,                0.48374,                 1.2726,                0.89193,                0.89807,             2.7806e-06,             2.7806e-06,             2.7806e-06
                     99,                 1.1246,                0.77511,                0.86848,                0.72012,                0.66373,                0.74051,                0.48297,                 1.2729,                0.89441,                0.89804,             2.4394e-06,             2.4394e-06,             2.4394e-06
                    100,                 1.1285,                0.77465,                0.86814,                0.71883,                0.66437,                0.74009,                0.48262,                 1.2732,                0.89462,                0.89799,             2.1954e-06,             2.1954e-06,             2.1954e-06
